station_id,code,name,city,state
7808,OSH,"OLD SACHIVAL",,
4829,PADH,PIPRADIH,,
2243,PAIL,"BLOCK HUT 'C",,
8010,PASR,"PANDURANGA S",,
330,PBC,"PARVATSAR CI",,
7810,PCHT,"PUNAICHAK HA",,
6207,PCTM,PUDUCHATTI,,
5612,PCY,"PIPAR CITY",,
4832,PDMA,PADMA,,
7998,PDMI,PENDLIMARRI,,
6567,PEA,PETTAI,,
8009,PJPR,"PJP ROAD HAL",,
5728,PJPT,"PARJAPATI HA",,
7771,PKJN,PAKHAJAN,,
4937,PLHW,PALHAWAS,,
8095,PNDR,PANDORI,,
688,PPTR,PUSHPATTUR,,
8052,PRBG,"PRATAP BAGH",,
4746,PRGR,PINAGORIA,,
4255,PRTR,PUTTARRA,,
8037,PSF,"PATRASAYER P",,
3775,PTHL,"PANTIHAL PH",,
2247,PTPL,PETRAPOLE,,
7576,PUHT,"PUSHKAR TERM",,
5511,PYI,PAYLI,,
7867,QDN,QADIAN,,
4328,RAPU,RAMPURA,,
7988,RBCS,RAMACHANDRAP,,
7827,RBHR,"RABHRA HAALT",,
7807,RBHT,"R BLOCK HALT",,
7860,RCR,"RATAR CHHATT",,
7859,RDS,RAMDAS,,
4823,REMA,REMA,,
7396,RJD,RAJ-PARDI,,
8049,RML,"ROMPALLE PH",,
6006,RNGN,RANIGAON,,
8026,RNGR,"RAINAGAR PH",,
2749,RPSC,"Rudrapur Sid",,
7947,RPY,RUPAI,,
7173,RSKA,RAJSUNAKHALA,,
6020,RTRA,RAMNATHPUR,,
8116,RVJ,"RAVLI JN",,
7812,RVN,"RAJIV NAGAR",,
6559,RVS,RAVANASAMUDR,,
8050,SALR,SALUR,,
7769,SAMN,"SAMNI JN.",,
8099,SAY,SAYAMA,,
424,SBDP,"SABDALPUR JN",,
2982,SBGA,SHRAVANABELA,,
455,SBGN,SISIBORGAON,,
1453,SFMU,SUNAM,,
8062,SGC,SAONGI,,
8033,SHKL,"SHANKRUL PH",,
8027,SHMR,SHYAMSUNDAR,,
6007,SIBR,SHRIBAR,,
6271,SIDP,SIDDAPURA,,
6274,SIGA,SHANTIGRAMA,,
5613,SILR,SILARI,,
7994,SJMA,SANJAMALA,,
4748,SKIP,SHIKARIPARA,,
7798,SKJS,"KRISHAN JANM",,
6025,SKKE,SEKERKOTE,,
4331,SKNP,SARKANPUR,,
8007,SLTP,SULTANPUR,,
459,SMCP,"SIMEN CHAPAR",,
6566,SMD,CHERANMAHADE,,
3555,SNHT,SANHATI,,
510,SOB,SILANIBARI,,
6269,SOLR,SOLUR,,
8040,SONA,"SONAMUKHI PH",,
7811,SPHT,"SHIVPURI HAL",,
7834,SPJB,"SAIDPUR JALA",,
6053,SQB,SINGHABAD,,
8029,SRBZ,"SEHARA BAZAR",,
